MES	ID	SCORE_SISTEMA	CTDMESPASIVOULT12MES	INGRESO	CLASIFRIESGO_6	ESTADOCIVIL	TIPO	DEPARTAMENTO	NUMEROHIJOS	INCUMPLIMIENTOEN12	DELTA_BANCOS
201510	24468101	244.59436792	12	4363.88	1	CAS	1	30	0	1	3
201510	24468678	315.87284611	12	3558.44	0	SOL	1	30	0	0	3
201510	24468700	377.69144962	12	4303.09	0	SOL	1	08	0	0	3
201510	24468956	353.00164605	12	3745.57	0	SOL	1	40	1	0	3
201510	24468992	391.19488624	12	3744.19	0	SOL	1	28	0	0	3
201510	24469196	394.50751819	12	4198.32	0	SOL	1	14	2	0	3
201510	24469429	377.89386836	12	3353.37	0	CAS	1	30	0	0	3
201510	24469467	403.72509842	12	3232.8	0	SOL	1	28	2	0	3
201510	24469757	339.51482483	12	3193.13	0	CAS	1	30	2	1	3
201510	24469956	321.00172447	12	3901.77	0	SOL	1	14	2	0	3
201510	24470077	282.03460259	12	4281.11	0	CAS	1	30	2	0	3
201510	24470264	304.85164466	12	4865.16	0	SOL	1	30	1	0	3
201510	24470432	412.10925092	12	3569.62	0	SOL	1	30	0	0	3
201510	24470783		12	4515.26	0	CAS	1	30	3	0	3
201510	24470905		11	3309.49	0	SOL	1	08	1	0	3
201510	24470914	353.40895762	12	3147.24	0	CAS	1	38	2	0	3
201510	24471082	314.19798454	12	4343.02	0	SOL	1	24	2	0	3
201510	24471095	380.58410052	12	3038.57	0	SOL	1	30	0	0	3
201510	24471608	262.63780406	12	3951.41	0	CAS	1	40	1	0	3
201510	24471644	245.81639008	12	3368.34	0	SOL	1	30	-	0	3
201510	24471645		12	4383.34	0	CAS	1	08	2	0	3
201510	24471989	422.74273105	12	3931.99	0	SOL	1	30	0	0	3
201510	24472192	239.92711548	12	3988.7	0	SOL	1	30	1	0	3
201510	24472256	282.54993133	12	4033.34	0	SOL	1	36	0	0	3
201510	24472333	357.25390634	12	3359.35	0	SOL	1	30	-	0	3
201510	24472508	318.36199934	12	3467.69	0	SOL	1	42	-	0	3
201510	24472774	291.95230695	12	4523.81	0	SOL	1	30	2	0	3
201510	24472925	391.27271936	12	3325.3	0	SOL	1	30	0	0	3
201510	24473615	306.80162615	7	4724.75	0	SOL	1	16	1	0	3
201510	24473887	304.55319279	12	4729.73	0	SOL	1	30	0	0	3
