MES,ID,SCORE_SISTEMA,CTDMESPASIVOULT12MES,INGRESO,CLASIFRIESGO_6,ESTADOCIVIL,TIPO,DEPARTAMENTO,NUMEROHIJOS,INCUMPLIMIENTOEN12,DELTA_BANCOS
201510,255,354.8828201,12,4038.05,0,SOL,1,26,1,0,3
201510,256,338.8151032,12,4218.61,0,CAS,1,30,1,0,3
201510,257,238.6312902,12,3221.42,0,SOL,1,30,0,0,3
201510,258,398.0345833,12,3378.07,0,CON,1,30,0,0,3
201510,259,307.665689,12,3954.72,0,SOL,1,8,-,0,3
201510,260,376.2935603,12,3757.59,0,CAS,1,30,2,0,3
201510,261,369.4072705,12,3630.67,0,SOL,1,8,0,0,3
201510,262,396.4505655,12,3612.87,0,CAS,1,44,2,0,3
201510,263,280.761639,12,3606.85,0,SOL,1,8,2,1,3
201510,264,344.9968602,12,3594.09,2,SOL,1,30,1,0,3
201510,265,,12,4876.02,0,CAS,1,8,0,0,3
201510,266,276.3086865,12,3211.65,0,SOL,1,30,0,0,3
201510,267,430.5712208,12,3230.7,0,SOL,1,44,1,0,3
201510,268,,12,3708,0,SOL,1,18,0,0,3
201510,269,416.2479831,12,4540.78,0,CAS,1,14,3,0,3
201510,270,376.6053212,12,3074.97,0,SOL,1,30,-,0,3
201510,271,216.9328445,12,4921.85,1,CAS,1,12,1,0,3
201510,272,370.4689193,12,4956.64,0,SOL,1,30,0,0,3
201510,273,423.8294685,12,3616.2,0,CON,1,12,2,0,3
201510,274,348.6325438,12,4061.93,0,SOL,1,30,3,0,3
201510,275,381.9717481,12,4075.01,0,SOL,1,30,0,0,3
201510,276,367.5883532,12,4918.18,0,CAS,1,40,1,0,3
201510,277,370.9706378,12,3555.24,0,SOL,1,46,2,0,3
201510,278,315.8378072,12,3700.62,0,SOL,1,24,3,0,3
201510,279,365.8545599,12,4999.25,0,CAS,1,22,1,0,3
201510,280,389.0826917,12,4120.61,0,CAS,1,22,2,0,3
201510,281,399.5427074,12,3163.19,0,SOL,1,28,0,0,3
201510,282,330.7848612,9,4756.58,0,SOL,1,8,-,0,3
201510,283,324.8418622,12,4816.03,0,CAS,1,42,2,0,3
201510,284,336.3025548,12,3236.8,0,CAS,1,30,3,0,3
201510,285,254.852301,12,3224.56,1,CAS,1,30,2,0,3
201510,286,294.0483492,12,3628.06,2,CAS,1,20,0,0,3
201510,287,376.2993934,12,4998.03,1,CAS,1,36,2,0,3
201510,288,430.338012,12,4246.04,0,SOL,1,26,1,0,3
201510,289,273.8297361,12,4605.75,0,CAS,1,26,0,0,3
201510,290,245.1244266,12,3432.94,0,CBS,1,14,0,0,3
201510,291,382.1042423,12,3520.64,0,SOL,1,30,4,0,3
201510,292,296.2739349,7,4991.97,0,CAS,1,14,0,0,3
201510,293,349.1805483,12,4642.85,0,SOL,1,30,0,0,3
201510,294,412.3408591,12,3565.46,0,SOL,1,28,1,0,3
201510,295,401.2076711,12,3332.1,0,SOL,1,14,1,0,3
201510,296,370.4335768,12,4307.6,0,VIU,1,28,-,0,3
201510,297,323.2117211,12,4051.42,0,SOL,1,8,0,0,3
201510,298,,12,3369.93,0,CAS,1,38,2,0,3
201510,299,375.1573133,12,3875.01,1,CAS,1,8,0,0,3
201510,300,347.659394,12,3479.16,0,CAS,1,30,0,0,3
201510,301,288.8248074,12,3750.32,0,SOL,1,30,3,0,3
201510,302,445.9691725,12,4257.93,0,SOL,1,8,0,0,3
201510,303,354.5350834,12,3431.86,0,SOL,1,24,1,0,3
201510,304,273.5301465,12,4841.58,0,CAS,1,22,3,0,3
201510,305,303.014344,12,3015,0,SOL,1,30,2,0,3
201510,306,,12,3869.44,0,SOL,1,8,0,0,3
201510,307,,12,4932.83,0,CAS,1,40,2,0,3
201510,308,345.918606,12,4200,0,SOL,1,16,-,0,3
201510,309,388.2546143,12,3577.25,0,SOL,1,30,1,0,3
201510,310,358.1708566,6,3480,0,SEP,1,14,0,0,3
201510,311,237.485039,12,3869.74,0,SOL,1,22,2,0,3
201510,312,330.0671465,12,3285.02,0,CAS,1,30,-,0,3
201510,313,265.0810044,12,4599.51,0,CAS,1,8,3,0,3
201510,314,394.3273461,12,3011.73,0,CAS,1,30,2,0,3
201510,315,381.0763632,12,3604.38,0,SOL,1,8,0,0,3
201510,316,,12,4787.5,0,CON,1,4,0,0,3
201510,317,,12,3717.42,0,SOL,1,8,0,0,3
201510,318,352.9863701,12,3094.28,0,CAS,1,24,1,0,3
201510,319,,8,4300.75,0,CAS,1,30,0,0,3
201510,320,307.3575925,12,4229.12,0,CAS,1,30,-,0,3
201510,321,401.7718509,12,3411.06,0,CAS,1,26,2,0,3
201510,322,,12,4073.12,0,SOL,1,30,0,0,3
201510,323,232.8538972,12,3710.45,0,SOL,1,30,0,0,3
201510,324,310.3971814,12,4191,1,CAS,1,22,2,0,3
201510,325,389.115303,12,4794.38,0,CAS,1,36,0,0,3
201510,326,285.0188182,12,4064,0,SOL,1,30,3,0,3
201510,327,336.5829103,12,3163.75,1,SOL,1,28,0,0,3
201510,328,352.5560226,12,3639.21,0,CAS,1,30,-,0,3
201510,329,273.4417767,12,3049.88,0,CAS,1,30,1,0,3
201510,330,282.2795692,12,4265.31,0,SOL,1,30,0,0,3
201510,331,338.2721708,12,3126.23,0,CAS,1,24,0,0,3
201510,332,302.2026311,12,4413.25,0,CAS,1,30,1,0,3
201510,333,282.0542263,12,4899.93,0,SOL,1,30,0,0,3
201510,334,427.2347503,12,4096.8,0,CAS,1,30,2,0,3
201510,335,332.6818364,12,4275.57,0,SOL,1,16,-,0,3
201510,336,312.0578368,12,4288.21,0,SEP,1,30,1,0,3
201510,337,391.6558555,12,4665.1,0,SOL,1,30,0,0,3
201510,338,286.2812652,12,4116.47,0,SOL,1,30,0,0,3
201510,339,352.5355014,12,3420.17,0,SOL,1,30,0,0,3
201510,340,413.0327565,12,4373.64,0,SOL,1,4,0,0,3
201510,341,379.2056702,12,4286.53,0,SOL,1,8,0,0,3
201510,342,324.6162319,12,3121.73,0,CAS,1,14,4,0,3
201510,343,363.4796049,12,3145.42,0,SOL,1,22,0,0,3
201510,344,415.0264086,12,3244.01,0,CAS,1,38,5,0,3
201510,345,268.7808247,12,4295.95,0,SOL,1,30,-,0,3
201510,346,422.2893528,12,4102.93,0,SOL,1,22,0,0,3
201510,347,436.2721587,12,3786.51,0,CAS,1,30,3,0,3
201510,348,297.2893234,12,4818.79,1,SOL,1,40,2,0,3
201510,349,337.8862865,12,3025.49,1,SOL,1,30,0,0,3
201510,350,359.9517044,12,3563.1,0,SOL,1,26,0,0,3
201510,351,470.0734093,12,4981.54,0,CAS,1,8,2,0,3
201510,352,343.1756209,12,3473.17,0,VIU,1,30,0,0,3
201510,353,411.1719468,12,3287.5,0,CAS,1,30,0,0,3
